plate_score,region_score,start_direction,end_direction,hour,is_weekend,month,daily_visits,lag_7,lag_14,lag_30,rolling_7,is_holiday,is_long_weekend,is_local,days_since_first_visit,client_lifetime_visits,client_active_days_last_30d,client_weekend_frac_last_90d,avg_gap_days,std_gap_days,is_weekly_visitor,is_monthly_visitor,daily_visits
0.959,0.017,77.0,,23,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.944,0.832,43.0,,23,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.676,0.109,64.0,,22,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.932,0.626,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.826,0.821,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.93,0.131,65.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.887,0.57,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.996,0.919,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
0.997,0.198,50.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.749,0.041,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.973,0.917,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,1.0,1.0,0.0,6.0,0.0,1,0,3374.0
0.924,0.072,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.819,0.679,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.936,0.74,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.807,0.913,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,2.0,2.0,0.0,2.0,1.0,1,0,3374.0
0.956,0.528,165.0,,21,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
